;x;;;;;;;;;;;;;;;
A31TTS;2-års;;;;;;;;;;;;;;;
A31P1B;COURSE_A31CCB;;;;;;;;;;;;;;;
A31P1C;COURSE_A31CCB;;;;;;;;;;;;;;;
A31P2B;2-års;;;;;;;;;;;;;;;
A31P2C;2-års;;;;;;;;;;;;;;;
A31STA;2-års;;;;;;;;;;;;;;;
A11RHA;x;;;;;;;;;;;;;;;
A11RVA;x;;;;;;;;;;;;;;;
A21RHA;x;;;;;;;;;;;;;;;
A21RVA;x;;;;;;;;;;;;;;;
A31RHA;x;;;;;;;;;;;;;;;
A31RVA;x;;;;;;;;;;;;;;;
A11HAA;x;;;;;;;;;;;;;;;
A42Y1B;Bcs-exam;;;;;;;;;;;;;;;
A42Y2B;Bcs-exam;;;;;;;;;;;;;;;
A42Y3B;Bcs-exam;;;;;;;;;;;;;;;
A42Y4B;Bcs-exam;;;;;;;;;;;;;;;
A52Y1B;1-års;;;;;;;;;;;;;;;
A52Y2B;1-års;;;;;;;;;;;;;;;
A52Y3B;1-års;;;;;;;;;;;;;;;
A52Y4B;1-års;;;;;;;;;;;;;;;
A42H1A;Bcs-exam;;;;;;;;;;;;;;;
A42H2A;Bcs-exam;;;;;;;;;;;;;;;
A52H1A;1-års;;;;;;;;;;;;;;;
A52H2A;1-års;;;;;;;;;;;;;;;
A41Q1A;x;;;;;;;;;;;;;;;
A51Q1A;x;;;;;;;;;;;;;;;
AD221V;Basic;;;;;;;;;;;;;;;
A42P1A;x;;;;;;;;;;;;;;;
A52P1A;x;;;;;;;;;;;;;;;
A52P2A;x;;;;;;;;;;;;;;;
A42T1A;Bcs;;;;;;;;;;;;;;;
A42T2A;Bcs-exam;;;;;;;;;;;;;;;
A52T1A;1-års;;;;;;;;;;;;;;;
A52T2A;1-års;;;;;;;;;;;;;;;
A42A1B;Bcs-exam;;;;;;;;;;;;;;;
A42A2B;Bcs-exam;;;;;;;;;;;;;;;
A42A3B;Bcs-exam;;;;;;;;;;;;;;;
A42A4B;Bcs-exam;;;;;;;;;;;;;;;
A52A1B;1-års;;;;;;;;;;;;;;;
A52A2B;1-års;;;;;;;;;;;;;;;
A52A3B;1-års;;;;;;;;;;;;;;;
A52A4B;1-års;;;;;;;;;;;;;;;
A42T1B;Bcs;;;;;;;;;;;;;;;
A42T2B;Bcs;;;;;;;;;;;;;;;
A42T3B;Bcs;;;;;;;;;;;;;;;
A42T4B;Bcs;;;;;;;;;;;;;;;
A52T1B;1-års;;;;;;;;;;;;;;;
A52T2B;1-års;;;;;;;;;;;;;;;
A52T3B;1-års;;;;;;;;;;;;;;;
A52T4B;1-års;;;;;;;;;;;;;;;
1A10AX;Exam;;;;;;;;;;;;;;;
A52ARX;Exam;;;;;;;;;;;;;;;
A52EXA;Exam;;;;;;;;;;;;;;;
A42F1B;Bcs-exam;;;;;;;;;;;;;;;
A42F2B;Bcs-exam;;;;;;;;;;;;;;;
A42F3B;Bcs-exam;;;;;;;;;;;;;;;
A42F4B;Bcs-exam;;;;;;;;;;;;;;;
A52F1B;Bcs-exam;;;;;;;;;;;;;;;
A52F2B;Bcs-exam;;;;;;;;;;;;;;;
A42P1B;Bcs-exam;;;;;;;;;;;;;;;
A42P2B;Bcs-exam;;;;;;;;;;;;;;;
A42P3B;Bcs-exam;;;;;;;;;;;;;;;
A42P4B;Bcs-exam;;;;;;;;;;;;;;;
A52P1B;1-års;;;;;;;;;;;;;;;
A52P2B;1-års;;;;;;;;;;;;;;;
A52P3B;1-års;;;;;;;;;;;;;;;
A52P4B;1-års;;;;;;;;;;;;;;;
A42G1B;Bcs-exam;;;;;;;;;;;;;;;
A42G2B;Bcs-exam;;;;;;;;;;;;;;;
A42G3B;Bcs-exam;;;;;;;;;;;;;;;
A42G4B;Bcs-exam;;;;;;;;;;;;;;;
A52G1B;1-års;;;;;;;;;;;;;;;
A52G2B;1-års;;;;;;;;;;;;;;;
A52G3B;1-års;;;;;;;;;;;;;;;
A52G4B;1-års;;;;;;;;;;;;;;;
A42V1B;x;;;;;;;;;;;;;;;
A42V2B;x;;;;;;;;;;;;;;;
A42V3B;x;;;;;;;;;;;;;;;
A42V4B;x;;;;;;;;;;;;;;;
A52V1B;x;;;;;;;;;;;;;;;
A52V2B;x;;;;;;;;;;;;;;;
A52V3B;x;;;;;;;;;;;;;;;
A52V4B;x;;;;;;;;;;;;;;;
A42H1B;Bcs-exam;;;;;;;;;;;;;;;
A42H2B;Bcs-exam;;;;;;;;;;;;;;;
A42H3B;Bcs-exam;;;;;;;;;;;;;;;
A42H4B;Bcs-exam;;;;;;;;;;;;;;;
A52H1B;1-års;;;;;;;;;;;;;;;
A52H2B;1-års;;;;;;;;;;;;;;;
A52H3B;1-års;;;;;;;;;;;;;;;
A52H4B;1-års;;;;;;;;;;;;;;;
A4211A;x;;;;;;;;;;;;;;;
A4221A;x;;;;;;;;;;;;;;;
A4241A;x;;;;;;;;;;;;;;;
A4231A;x;;;;;;;;;;;;;;;
A52AXI;x;;;;;;;;;;;;;;;
A10INA;Basic;;;;;;;;;;;;;;;
A42K1B;Bcs-exam;;;;;;;;;;;;;;;
A42K2B;Bcs-exam;;;;;;;;;;;;;;;
A42K3B;Bcs-exam;;;;;;;;;;;;;;;
A42K4B;Bcs-exam;;;;;;;;;;;;;;;
A52K1B;1-års;;;;;;;;;;;;;;;
A52K2B;1-års;;;;;;;;;;;;;;;
A52K3B;1-års;;;;;;;;;;;;;;;
A52K4B;1-års;;;;;;;;;;;;;;;
A42L1B;Bcs-exam;;;;;;;;;;;;;;;
A42L2B;Bcs-exam;;;;;;;;;;;;;;;
A42L3B;Bcs-exam;;;;;;;;;;;;;;;
A42L4B;Bcs-exam;;;;;;;;;;;;;;;
A52L1B;1-års;;;;;;;;;;;;;;;
A52L2B;1-års;;;;;;;;;;;;;;;
A52L3B;1-års;;;;;;;;;;;;;;;
A52L4B;1-års;;;;;;;;;;;;;;;
A52R3B;1-års;;;;;;;;;;;;;;;
A52R4B;1-års;;;;;;;;;;;;;;;
A42R1B;Bcs-exam;;;;;;;;;;;;;;;
A42R2B;Bcs-exam;;;;;;;;;;;;;;;
A42R3B;Bcs-exam;;;;;;;;;;;;;;;
A42R4B;Bcs-exam;;;;;;;;;;;;;;;
A52R1B;1-års;;;;;;;;;;;;;;;
A52R2B;1-års;;;;;;;;;;;;;;;
A42O1A;x;;;;;;;;;;;;;;;
A42O2A;4-års;;;;;;;;;;;;;;;
A52O1A;x;;;;;;;;;;;;;;;
A52O2A;x;;;;;;;;;;;;;;;
A42D1B;Bcs-exam;;;;;;;;;;;;;;;
A42D2B;Bcs-exam;;;;;;;;;;;;;;;
A42D3B;Bcs-exam;;;;;;;;;;;;;;;
A42D4B;Bcs-exam;;;;;;;;;;;;;;;
A52D1B;Bcs-exam;;;;;;;;;;;;;;;
A52D2B;Bcs-exam;;;;;;;;;;;;;;;
A42D1C;Bcs;;;;;;;;;;;;;;;
A42D2C;Bcs;;;;;;;;;;;;;;;
A42D3C;Bcs;;;;;;;;;;;;;;;
A42D4C;Bcs;;;;;;;;;;;;;;;
A52D1C;1-års;;;;;;;;;;;;;;;
A52D2C;1-års;;;;;;;;;;;;;;;
A52D3C;1-års;;;;;;;;;;;;;;;
A52D4C;1-års;;;;;;;;;;;;;;;
A42SEH;x;;;;;;;;;;;;;;;
A42SEV;4-års;;;;;;;;;;;;;;;
A52SEH;x;;;;;;;;;;;;;;;
A52SEV;x;;;;;;;;;;;;;;;
A42S1A;Bcs-exam;;;;;;;;;;;;;;;
A42S2A;Bcs-exam;;;;;;;;;;;;;;;
A41RHA;Bcs;;;;;;;;;;;;;;;
A41RVA;Bcs;;;;;;;;;;;;;;;
A51RHA;1-års;;;;;;;;;;;;;;;
A51RVA;1-års;;;;;;;;;;;;;;;
A42A13;Projekt;;;;;;;;;;;;;;;
A42B13;Projekt;;;;;;;;;;;;;;;
A42C14;Projekt;;;;;;;;;;;;;;;
A42D14;Projekt;;;;;;;;;;;;;;;
A52A13;Projekt;;;;;;;;;;;;;;;
A52B13;Projekt;;;;;;;;;;;;;;;
A52UPA;x;;;;;;;;;;;;;;;
A42U1B;Bcs-exam;;;;;;;;;;;;;;;
A42U2B;Bcs-exam;;;;;;;;;;;;;;;
A42U3B;Bcs-exam;;;;;;;;;;;;;;;
A42U4B;Bcs-exam;;;;;;;;;;;;;;;
A52U1B;1-års;;;;;;;;;;;;;;;
A52U2B;1-års;;;;;;;;;;;;;;;
A52U3B;1-års;;;;;;;;;;;;;;;
A52U4B;1-års;;;;;;;;;;;;;;;
A4212A;x;;;;;;;;;;;;;;;
A4242A;x;;;;;;;;;;;;;;;
A4232A;x;;;;;;;;;;;;;;;
A4262A;x;;;;;;;;;;;;;;;
A4252A;x;;;;;;;;;;;;;;;
A4222A;x;;;;;;;;;;;;;;;
A4213A;x;;;;;;;;;;;;;;;
A4243A;x;;;;;;;;;;;;;;;
A4263A;x;;;;;;;;;;;;;;;
A4233A;x;;;;;;;;;;;;;;;
A4253A;x;;;;;;;;;;;;;;;
A4223A;x;;;;;;;;;;;;;;;
AI2137;7,5-hp;;;;;;;;;;;;;;;
AI2126;x;;;;;;;;;;;;;;;
AI3303;Prof;;;;;;;;;;;;;;;
AI2145;x;;;;;;;;;;;;;;;
AI104X;Exam;;;;;;;;;;;;;;;
AI106X;Exam;;;;;;;;;;;;;;;
AI103X;Exam;;;;;;;;;;;;;;;
AI105X;Exam;;;;;;;;;;;;;;;
AI205X;Exam;;;;;;;;;;;;;;;
AI1172;COURSE_AI1550;;;;;;;;;;;;;;;
AI1173;COURSE_AI1127;;;;;;;;;;;;;;;
AI1127;Basic;;;;;;;;;;;;;;;
AI1177;COURSE_AI1178;;;;;;;;;;;;;;;
AI2148;Mcs;;;;;;;;;;;;;;;
AI3306;Prof;;;;;;;;;;;;;;;
AI3305;Prof;;;;;;;;;;;;;;;
AI1175;COURSE_SF1627;;;;;;;;;;;;;;;
AI211V;180-hp;;;;;;;;;;;;;;;
AI212V;180-hp;;;;;;;;;;;;;;;
AI1114;x;;;;;;;;;;;;;;;
AI2151;120-hp;;;;;;;;;;;;;;;
AI213V;180-hp;;;;;;;;;;;;;;;
AI1124;Basic;;;;;;;;;;;;;;;
AI1141;COURSE_AI1142;;;;;;;;;;;;;;;
AI3302;Prof;;;;;;;;;;;;;;;
AI1171;COURSE_AI1126;;;;;;;;;;;;;;;
AI1138;COURSE_AI1123;;;;;;;;;;;;;;;
AI2127;Mcs;;;;;;;;;;;;;;;
AI121U;Basic;;;;;;;;;;;;;;;
AI1125;Basic;;;;;;;;;;;;;;;
AI2138;Mcs;;;;;;;;;;;;;;;
AI2130;Basic;;;;;;;;;;;;;;;
AI1170;COURSE_AI1126;COURSE_AI1127;;;;;;;;;;;;;;
AI1139;Basic;;;;;;;;;;;;;;;
AI3304;Prof;;;;;;;;;;;;;;;
AI1126;Basic;;;;;;;;;;;;;;;
AI2141;COURSE_AI2140;;;;;;;;;;;;;;;
AI1178;COURSE_SF1627;;;;;;;;;;;;;;;
AI3308;Dr;;;;;;;;;;;;;;;
AI2150;Mcs-exam;;;;;;;;;;;;;;;
AF3115;x;;;;;;;;;;;;;;;
AF2101;x;;;;;;;;;;;;;;;
AF2102;x;;;;;;;;;;;;;;;
AF3116;x;;;;;;;;;;;;;;;
AF2001;x;;;;;;;;;;;;;;;
AF1005;x;;;;;;;;;;;;;;;
1C5031;Prof;;;;;;;;;;;;;;;
AF212X;Exam;;;;;;;;;;;;;;;
AF213X;Exam;;;;;;;;;;;;;;;
AF111X;Exam;;;;;;;;;;;;;;;
AF112X;Exam;;;;;;;;;;;;;;;
1L5202;Prof;;;;;;;;;;;;;;;
1L5101;Prof;;;;;;;;;;;;;;;
AF3202;Prof;;;;;;;;;;;;;;;
AF3201;Mcs-exam;;;;;;;;;;;;;;;
AH3906;Prof;;;;;;;;;;;;;;;
1C5010;Prof;;;;;;;;;;;;;;;
AF2202;180-hp;;;;;;;;;;;;;;;
AF2201;Bcs-exam;;;;;;;;;;;;;;;
AF2203;COURSE_AF2201;COURSE_AF2024;COURSE_AF2011;150-hp;;;;;;;;;;;;
AF2003;x;;;;;;;;;;;;;;;
AF2130;x;;;;;;;;;;;;;;;
AF213U;15-hp;;;;;;;;;;;;;;;
AF213V;30-hp;;;;;;;;;;;;;;;
AF2211;120-hp;;;;;;;;;;;;;;;
AF3211;Prof;;;;;;;;;;;;;;;
AF223X;Exam;;;;;;;;;;;;;;;
AF122X;Exam;;;;;;;;;;;;;;;
AF222X;Exam;;;;;;;;;;;;;;;
1C1008;Exam;;;;;;;;;;;;;;;
AF282X;Exam;;;;;;;;;;;;;;;
AF2024;COURSE_SF1683;COURSE_SF1672;150-hp;;;;;;;;;;;;;
AF3909;x;;;;;;;;;;;;;;;
1C5054;Prof;;;;;;;;;;;;;;;
1C5012;Prof;;;;;;;;;;;;;;;
AF3212;COURSE_SF1544;;;;;;;;;;;;;;;
1C5034;Prof;;;;;;;;;;;;;;;
1C5033;Prof;;;;;;;;;;;;;;;
1C5002;Prof;;;;;;;;;;;;;;;
AF2212;x;;;;;;;;;;;;;;;
AF3005;Prof;;;;;;;;;;;;;;;
AF2210;x;;;;;;;;;;;;;;;
1C5015;Prof;;;;;;;;;;;;;;;
AF1024;Basic;;;;;;;;;;;;;;;
AF102U;Basic;;;;;;;;;;;;;;;
AF2011;COURSE_AF2003;150-hp;;;;;;;;;;;;;;
AF2213;x;;;;;;;;;;;;;;;
1C5018;Prof;;;;;;;;;;;;;;;
1C5045;Prof;;;;;;;;;;;;;;;
1C5035;Prof;;;;;;;;;;;;;;;
AI2140;4-års;;;;;;;;;;;;;;;
AI2125;4-års;;;;;;;;;;;;;;;
AI225U;x;;;;;;;;;;;;;;;
AI239U;x;;;;;;;;;;;;;;;
AI2154;Mcs-exam;;;;;;;;;;;;;;;
AI1135;x;;;;;;;;;;;;;;;
AI143V;Basic;;;;;;;;;;;;;;;
AI3004;Prof;;;;;;;;;;;;;;;
AI3001;Prof;;;;;;;;;;;;;;;
AI202V;x;;;;;;;;;;;;;;;
AI109V;Basic;;;;;;;;;;;;;;;
AI236U;x;;;;;;;;;;;;;;;
AI2116;COURSE_AI2115;;;;;;;;;;;;;;;
1N5309;Prof;;;;;;;;;;;;;;;
AI2112;Basic;;;;;;;;;;;;;;;
AI2131;x;;;;;;;;;;;;;;;
AI104V;Basic;;;;;;;;;;;;;;;
AI1103;Basic;;;;;;;;;;;;;;;
AI1131;x;;;;;;;;;;;;;;;
AI1145;COURSE_AI1107;COURSE_AI1128;;;;;;;;;;;;;;
AI3007;Prof;;;;;;;;;;;;;;;
AI221V;x;;;;;;;;;;;;;;;
AI214V;x;;;;;;;;;;;;;;;
AI201X;Exam;;;;;;;;;;;;;;;
AI206X;x;;;;;;;;;;;;;;;
AI277U;Exam;;;;;;;;;;;;;;;
AI102X;Exam;;;;;;;;;;;;;;;
AI107X;Exam;;;;;;;;;;;;;;;
AI204X;Exam;;;;;;;;;;;;;;;
AI276U;COURSE_AI270U;COURSE_AI271U;COURSE_AI272U;COURSE_AI273U;COURSE_AI274U;COURSE_AI275U;;;;;;;;;;
AI101X;Exam;;;;;;;;;;;;;;;
AH205X;x;;;;;;;;;;;;;;;
AH259X;Exam;;;;;;;;;;;;;;;
AI2117;Mcs;;;;;;;;;;;;;;;
AI233U;x;;;;;;;;;;;;;;;
AH3457;Basic;;;;;;;;;;;;;;;
AI229U;x;;;;;;;;;;;;;;;
AI3006;Prof;;;;;;;;;;;;;;;
AI1132;x;;;;;;;;;;;;;;;
AI251U;x;;;;;;;;;;;;;;;
AI270U;Basic;;;;;;;;;;;;;;;
AI1144;COURSE_AI1107;COURSE_AI1128;;;;;;;;;;;;;;
AI122U;x;;;;;;;;;;;;;;;
AI274U;Basic;;;;;;;;;;;;;;;
AI228U;Basic;;;;;;;;;;;;;;;
AI118U;x;;;;;;;;;;;;;;;
AI119U;COURSE_AI118U;;;;;;;;;;;;;;;
AI120U;x;;;;;;;;;;;;;;;
AI227U;x;;;;;;;;;;;;;;;
AI230U;Basic;;;;;;;;;;;;;;;
AI222U;x;;;;;;;;;;;;;;;
AI240U;x;;;;;;;;;;;;;;;
1N5304;Prof;;;;;;;;;;;;;;;
AI219V;x;;;;;;;;;;;;;;;
AI226U;x;;;;;;;;;;;;;;;
AI220V;x;;;;;;;;;;;;;;;
AI237U;x;;;;;;;;;;;;;;;
AI1146;COURSE_AI1107;COURSE_AI1128;COURSE_AI1108;;;;;;;;;;;;;
AI206V;COURSE_AI110V;COURSE_AI109V;;;;;;;;;;;;;;
AI1143;COURSE_AI1107;COURSE_AI1123;;;;;;;;;;;;;;
AI258U;Basic;;;;;;;;;;;;;;;
AI224U;x;;;;;;;;;;;;;;;
AI223U;x;;;;;;;;;;;;;;;
1F5308;Prof;;;;;;;;;;;;;;;
AI105V;Basic;;;;;;;;;;;;;;;
AI1147;COURSE_AI1107;COURSE_AI1128;COURSE_AI1108;;;;;;;;;;;;;
AI2104;COURSE_AI2119;COURSE_AI2115;COURSE_AI2102;;;;;;;;;;;;;
AI1148;COURSE_AI1108;COURSE_AI1146;;;;;;;;;;;;;;
AI231U;x;;;;;;;;;;;;;;;
AI273U;Basic;;;;;;;;;;;;;;;
AI234U;Basic;;;;;;;;;;;;;;;
