False;b' Makroekonomi';b'https://www.kth.se/student/kurser/kurs/ME3545';b'H\xc3\xb6gskolestudier om minst 180 hp, d\xc3\xa4rav minst 30 hp inom matematik/nationalekonomi samt dokumenterade kunskaper i engelska B eller motsvarande.'
False;b' Makroekonomi f\xc3\xb6r business';b'https://www.kth.se/student/kurser/kurs/ME2720';b'H\xc3\xb6gskolestudier om minst 120hp d\xc3\xa4rav minst 30hp inom matematik/nationalekonomi samt dokumenterade kunskaper i engelska B eller motsvarande.'
False;b' Management Consulting';b'https://www.kth.se/student/kurser/kurs/ME2060';b'Minst 30 hp inom \xc3\xa4mnet industriell ekonomi.'
False;b' Management och strategi';b'https://www.kth.se/student/kurser/kurs/ME2718';b'H\xc3\xb6gskolestudier om minst 120 hp d\xc3\xa4rav minst 60 hp inom ekonomi- eller teknik\xc3\xa4mnen samt dokumenterade kunskaper i engelska B eller motsvarande.'
False;b' Managerial Economics';b'https://www.kth.se/student/kurser/kurs/AH2015';b'H\xc3\xb6gskolestudier om minst\xc2\xa0180hp d\xc3\xa4rav minst 30hp inom\xc2\xa0matematik/nationalekonomi samt dokumenterade kunskaper i engelska B eller motsvarande.'
False;b' Marknadsf\xc3\xb6ring grundkurs';b'https://www.kth.se/student/kurser/kurs/ME1035';b'Grundl\xc3\xa4ggande beh\xc3\xb6righet och engelska B.'
True;b' Marknadsf\xc3\xb6ring teori';b'https://www.kth.se/student/kurser/kurs/ME3517';b'Antagen till forskarutbildningen.'
True;b' Marknadskommunikation';b'https://www.kth.se/student/kurser/kurs/ME3519';b'Antagen till forskarutbildningen.'
False;b' Matematik';b'https://www.kth.se/student/kurser/kurs/ME3542';b'H\xc3\xb6gskolestudier om minst 180 hp, varav minst 30 h\xc3\xb6gskolepo\xc3\xa4ng i matematik / statistik / kvalitativ analys eller motsvarande samt dokumenterade kunskaper i engelska B eller motsvarande.'
True;b' Mediejuridik';b'https://www.kth.se/student/kurser/kurs/ME2076';b'Uppflyttad till \xc3\xa5rskurs 4, civilingenj\xc3\xb6rsprogram, eller antagen till masterprogram.'
False;b' Mikroekonomi';b'https://www.kth.se/student/kurser/kurs/ME2705';b'H\xc3\xb6gskolestudier om minst 180hp d\xc3\xa4rav minst 30hp inom matematik/nationalekonomi samt dokumenterade kunskaper i engelska B eller motsvarande.'
False;b' Mikroekonomi';b'https://www.kth.se/student/kurser/kurs/ME2712';b'H\xc3\xb6gskolestudier om minst 180hp d\xc3\xa4rav minst 30hp inom matematik/nationalekonomi samt dokumenterade kunskaper i engelska B eller motsvarande.'
